OBSERVATION,PAPERCOLOR,PAPERCLIPS,FLIGHTTIME
1,Y,0,1.32
2,Y,0,1.61
3,Y,0,1.25
4,Y,0,1.32
5,B,0,2.56
6,B,0,2.23
7,B,0,2.12
8,B,0,2.3
9,R,0,1.22
10,R,0,1.57
11,R,0,1.83
12,R,0,1.58
13,Y,1,2.23
14,Y,1,2.14
15,Y,1,2.22
16,Y,1,1.67
17,B,1,2.31
18,B,1,2.2
19,B,1,1.65
20,B,1,2.13
21,R,1,1.47
22,R,1,1.47
23,R,1,1.69
24,R,1,1.71
25,Y,2,1.53
26,Y,2,1.62
27,Y,2,1.56
28,Y,2,1.71
29,B,2,1.94
30,B,2,2.07
31,B,2,2.04
32,B,2,1.97
33,R,2,1.46
34,R,2,1.43
35,R,2,1.58
36,R,2,1.53
